positive,negative,neutral,compound,overall
0.342,0.082,0.577,0.9181,Positive
0.125,0.0,0.875,0.7837,Positive
0.051,0.115,0.834,-0.5672,Negative
0.276,0.049,0.675,0.9593,Positive
0.436,0.0,0.564,0.9403,Positive
0.286,0.0,0.714,0.952,Positive
0.019,0.073,0.908,-0.8749,Negative
0.281,0.115,0.604,0.6486,Positive
0.215,0.033,0.752,0.936,Positive
0.208,0.058,0.734,0.9807,Positive
0.191,0.045,0.764,0.9244,Positive
0.244,0.0,0.756,0.9347,Positive
0.107,0.134,0.76,-0.7246,Negative
0.303,0.024,0.673,0.9862,Positive
0.177,0.303,0.519,-0.4404,Negative
0.0,0.198,0.802,-0.5719,Negative
0.398,0.0,0.602,0.9532,Positive
0.316,0.196,0.489,0.4019,Positive
0.345,0.033,0.622,0.979,Positive
0.332,0.0,0.668,0.9311,Positive
0.715,0.0,0.285,0.911,Positive
0.152,0.11,0.739,0.6124,Positive
0.048,0.177,0.774,-0.9724,Negative
0.105,0.261,0.633,-0.7102,Negative
0.208,0.0,0.792,0.938,Positive
0.512,0.0,0.488,0.9118,Positive
0.095,0.113,0.792,-0.4207,Negative
0.037,0.089,0.874,-0.4503,Negative
0.349,0.0,0.651,0.984,Positive
0.168,0.07,0.761,0.8883,Positive
0.169,0.0,0.831,0.9298,Positive
0.391,0.0,0.609,0.9538,Positive
0.265,0.0,0.735,0.8779,Positive
0.265,0.0,0.735,0.8779,Positive
0.301,0.0,0.699,0.9042,Positive
0.045,0.036,0.919,0.1645,Positive
0.242,0.035,0.723,0.9287,Positive
0.13,0.0,0.87,0.7269,Positive
0.314,0.073,0.613,0.9582,Positive
0.293,0.0,0.707,0.6597,Positive
0.335,0.0,0.665,0.861,Positive
0.309,0.135,0.555,0.8553,Positive
0.207,0.0,0.793,0.9371,Positive
0.15,0.076,0.774,0.9246,Positive
0.079,0.082,0.839,-0.048,Negative
0.392,0.153,0.455,0.6361,Positive
0.135,0.2,0.666,-0.312,Negative
0.317,0.09,0.593,0.8945,Positive
0.595,0.0,0.405,0.9217,Positive
0.367,0.0,0.633,0.7003,Positive
0.447,0.0,0.553,0.836,Positive
0.432,0.194,0.374,0.8698,Positive
0.435,0.0,0.565,0.9451,Positive
0.437,0.0,0.563,0.9458,Positive
0.681,0.0,0.319,0.8923,Positive
0.096,0.03,0.874,0.7469,Positive
0.352,0.0,0.648,0.9286,Positive
0.322,0.0,0.678,0.9744,Positive
0.436,0.045,0.519,0.9705,Positive
0.296,0.016,0.688,0.993,Positive
0.177,0.06,0.763,0.6478,Positive
0.115,0.049,0.836,0.9323,Positive
0.184,0.048,0.768,0.9636,Positive
0.181,0.0,0.819,0.9509,Positive
0.219,0.0,0.781,0.4754,Positive
0.179,0.176,0.645,0.0772,Positive
0.114,0.104,0.782,-0.1531,Negative
0.093,0.051,0.856,0.296,Positive
0.718,0.0,0.282,0.8807,Positive
0.21,0.018,0.771,0.9376,Positive
0.137,0.053,0.81,0.9301,Positive
0.197,0.083,0.72,0.7184,Positive
0.139,0.101,0.759,0.3599,Positive
0.307,0.0,0.693,0.7964,Positive
0.316,0.064,0.619,0.8906,Positive
0.423,0.052,0.524,0.9589,Positive
0.303,0.0,0.697,0.8126,Positive
0.395,0.0,0.605,0.946,Positive
0.197,0.0,0.803,0.8218,Positive
0.099,0.095,0.806,0.0258,Negative
0.132,0.3,0.568,-0.6486,Negative
0.109,0.0,0.891,0.4019,Positive
0.455,0.0,0.545,0.875,Positive
0.16,0.19,0.649,-0.1779,Negative
0.286,0.076,0.638,0.9753,Positive
0.352,0.0,0.648,0.92,Positive
0.33,0.021,0.648,0.9744,Positive
0.085,0.123,0.792,-0.296,Negative
0.148,0.051,0.8,0.9228,Positive
0.297,0.054,0.649,0.8718,Positive
0.154,0.126,0.72,0.2837,Positive
0.146,0.034,0.82,0.9611,Positive
0.469,0.0,0.531,0.8885,Positive
0.245,0.032,0.723,0.9955,Positive
0.134,0.533,0.334,-0.8613,Negative
0.331,0.0,0.669,0.8555,Positive
0.269,0.0,0.731,0.7964,Positive
0.226,0.022,0.752,0.9724,Positive
0.314,0.122,0.565,0.662,Positive
0.085,0.107,0.809,-0.2944,Negative
0.178,0.045,0.777,0.9501,Positive
0.216,0.31,0.473,-0.101,Negative
0.25,0.19,0.561,0.101,Positive
0.188,0.0,0.812,0.4588,Positive
0.215,0.046,0.739,0.936,Positive
0.0,0.219,0.781,-0.7172,Negative
0.245,0.113,0.642,0.9177,Positive
0.267,0.042,0.691,0.9723,Positive
0.244,0.035,0.721,0.9456,Positive
0.194,0.0,0.806,0.8893,Positive
0.176,0.045,0.779,0.9619,Positive
0.076,0.084,0.84,-0.1874,Negative
0.457,0.0,0.543,0.8555,Positive
0.216,0.181,0.603,0.1779,Positive
0.0,0.0,1.0,0.0,Negative
0.194,0.037,0.769,0.9505,Positive
0.196,0.053,0.751,0.7096,Positive
0.242,0.059,0.699,0.9556,Positive
0.591,0.0,0.409,0.8786,Positive
0.212,0.087,0.701,0.9754,Positive
0.148,0.126,0.726,0.5817,Positive
0.338,0.0,0.662,0.8268,Positive
0.177,0.106,0.717,0.2732,Positive
0.063,0.165,0.772,-0.2783,Negative
0.169,0.042,0.789,0.8685,Positive
0.338,0.0,0.662,0.8255,Positive
0.382,0.052,0.566,0.9388,Positive
0.232,0.065,0.703,0.8445,Positive
0.308,0.027,0.665,0.9382,Positive
0.0,0.248,0.752,-0.5095,Negative
0.0,0.0,1.0,0.0,Negative
0.301,0.0,0.699,0.8811,Positive
0.158,0.069,0.773,0.8933,Positive
0.19,0.092,0.718,0.7278,Positive
0.091,0.126,0.783,-0.3883,Negative
0.119,0.113,0.769,0.3233,Positive
0.492,0.0,0.508,0.8655,Positive
0.378,0.0,0.622,0.9145,Positive
0.0,0.16,0.84,-0.9152,Negative
0.309,0.0,0.691,0.8221,Positive
0.444,0.0,0.556,0.9042,Positive
0.277,0.0,0.723,0.861,Positive
0.142,0.023,0.835,0.9223,Positive
0.0,0.123,0.877,-0.6964,Negative
0.227,0.146,0.626,0.5984,Positive
0.034,0.193,0.772,-0.8905,Negative
0.16,0.066,0.774,0.8777,Positive
0.338,0.04,0.622,0.9182,Positive
0.724,0.0,0.276,0.9201,Positive
0.307,0.032,0.661,0.9872,Positive
0.17,0.047,0.783,0.6318,Positive
0.207,0.0,0.793,0.8746,Positive
0.381,0.0,0.619,0.7316,Positive
0.164,0.0,0.836,0.6478,Positive
0.0,0.0,1.0,0.0,Negative
0.0,0.095,0.905,-0.296,Negative
0.067,0.036,0.897,0.34,Positive
0.201,0.093,0.706,0.9242,Positive
0.515,0.0,0.485,0.8934,Positive
0.3,0.072,0.628,0.9607,Positive
0.193,0.038,0.769,0.972,Positive
0.067,0.122,0.811,-0.8259,Negative
0.209,0.0,0.791,0.5719,Positive
0.304,0.0,0.696,0.8766,Positive
0.289,0.0,0.711,0.9541,Positive
0.292,0.139,0.569,0.5916,Positive
0.187,0.058,0.755,0.9801,Positive
0.215,0.091,0.694,0.6371,Positive
0.218,0.0,0.782,0.9888,Positive
0.32,0.0,0.68,0.9509,Positive
0.37,0.0,0.63,0.9843,Positive
0.086,0.064,0.851,0.9537,Positive
0.027,0.299,0.675,-0.9232,Negative
0.153,0.0,0.847,0.8092,Positive
0.089,0.021,0.89,0.6801,Positive
0.421,0.0,0.579,0.9824,Positive
0.184,0.026,0.79,0.8957,Positive
0.153,0.032,0.814,0.8781,Positive
0.05,0.109,0.841,-0.5849,Negative
0.213,0.0,0.787,0.7828,Positive
0.269,0.0,0.731,0.8612,Positive
0.298,0.163,0.54,0.4125,Positive
0.314,0.0,0.686,0.9615,Positive
0.441,0.0,0.559,0.7964,Positive
0.153,0.0,0.847,0.5719,Positive
0.262,0.063,0.675,0.9301,Positive
0.627,0.0,0.373,0.9501,Positive
0.451,0.0,0.549,0.6249,Positive
0.372,0.0,0.628,0.836,Positive
0.486,0.0,0.514,0.9446,Positive
0.152,0.159,0.688,-0.0516,Negative
0.421,0.0,0.579,0.8807,Positive
0.427,0.0,0.573,0.9344,Positive
0.306,0.066,0.628,0.9441,Positive
