Zip,Centroid Latitude,Centroid Longitude
71969,34.6692421,-93.6292099
71970,34.6689345,-93.489154
71971,34.3037815,-94.0343896
71972,34.3828911,-94.2768624
73160,35.3324382,-97.4752173
71973,34.3018838,-94.31904
71998,34.1263845,-93.0552858
71999,34.1274583,-93.0590669
84404,41.2695194,-112.1176581
72001,35.0583297,-92.8858596
73162,35.5820109,-97.6409283
94508,38.5766179,-122.4443883
94509,37.9965006,-121.8123009
94510,38.0978105,-122.1364594
94511,38.0316571,-121.6448782
94512,38.1348519,-121.8341563
94513,37.9222259,-121.6687395
94514,37.8249331,-121.6218882
94515,38.6348225,-122.6150507
94516,37.8339014,-122.1650339
94517,37.8971234,-121.8768587
94518,37.9503685,-122.0220469
94519,37.9884486,-122.0129681
94520,37.9955268,-122.0410121
94521,37.9560116,-121.9561922
94523,37.9541635,-122.0757723
94525,38.0529515,-122.2320944
94526,37.8146133,-121.9905515
94528,37.8456012,-121.9506119
94530,37.9215603,-122.298336
94531,37.9657662,-121.7758213
94533,38.2807448,-122.0063799
94534,38.2449394,-122.1349305
94535,38.2822211,-121.9247148
94536,37.5705083,-121.9812503
94538,37.5013676,-121.956753
94539,37.516898,-121.9117496
94541,37.6739319,-122.0848388
48819,42.5473958,-84.2809939
39571,30.4200665,-89.2750429
42461,37.7973972,-87.8892159
39572,30.2508263,-89.6048035
42462,37.7439816,-87.8017184
42463,37.4726196,-87.8694519
48820,42.8639131,-84.592296
42464,37.1812528,-87.3561589
48821,42.641171,-84.6474172
48822,42.8352789,-84.7631278
39573,30.7309943,-89.0933976
42501,37.0561927,-84.4509023
39574,30.6101324,-89.0917665
48823,42.764057,-84.4599215
48825,42.727604,-84.4814203
39576,30.2898102,-89.3833914
42503,37.1575905,-84.5204506
42516,37.2221537,-84.7860314
42518,36.9423696,-84.6326462
48827,42.5093186,-84.6604397
42519,36.9553066,-84.5350398
39577,30.9047292,-89.086488
48829,43.3982054,-85.015378
42528,37.1818017,-85.023368
42533,37.0721945,-84.5923547
48831,43.0962252,-84.3724725
48832,43.4118826,-84.7765816
39581,30.3571008,-88.4893234
48834,43.1325854,-85.032114
42539,37.3090818,-84.9509784
42541,37.3588837,-84.7943428
48835,43.0249034,-84.7490569
48836,42.6693193,-84.0765833
42544,37.0299484,-84.8151249
42553,37.1562375,-84.6975837
42565,37.1589756,-84.8892762
95916,39.6655389,-121.3519555
95917,39.4096859,-121.7566527
95918,39.3012294,-121.3379292
95919,39.4328816,-121.2611427
95920,39.4497945,-121.9363724
95922,39.4881817,-121.0657969
95923,40.138049,-121.127224
95925,39.4841083,-121.192649
